X,Y,OBJECTID,Schoolnumber,Name,Province,SchoolLevel,District,Grant_Class,latitude,longitude
297544.095657507,8027982.80562194,1,1001,ADMIRAL TAIT,Harare,Primary,Northern Central,P1,-17.82644,31.08971
293894.161306683,8031810.77714575,2,1002,ALEXANDRA PARK,Harare,Primary,Northern Central,P1,-17.79152,31.05566
287989.133358882,8032126.13820342,3,1003,ALFRED BEIT PRIMARY,Harare,Primary,Warren Park Mabelreign,P1,-17.78811,31.00001
291807.82122796,8022358.52227824,4,1004,ARDBENNIE,Harare,Primary,Mbare Hatfield,P1,-17.87671,31.03505
291605.080806177,8031762.54656595,5,1005,AVONDALE,Harare,Primary,Northern Central,P1,-17.79174,31.03407
288828.922119265,8034137.65838488,6,1006,AVONLEA,Harare,Primary,Warren Park Mabelreign,P1,-17.77002,31.00813
295846.597215716,8029118.86290211,7,1007,ST. CATHERINE SPEC.,Harare,Primary,Northern Central,P1,-17.81602,31.07381
279827.238633975,8030196.3318165,8,1008,BATSIRAI ZIMCARE TRUST SPECIAL,Harare,Primary,Warren Park Mabelreign,P2,-17.80474,30.92285
308815.018965423,8027345.31724819,9,1009,TINOKWIRIRA SPEC.,Harare,Primary,Mabvuku Tafara,P2,-17.83321,31.19596
289324.875047945,8024589.42258131,10,1010,RUVIMBO SPECIAL,Harare,Primary,High Glen,P2,-17.85632,31.01185
308453.959876555,8027298.66220862,11,1011,BATANAI,Harare,Primary,Mabvuku Tafara,P2,-17.8336,31.19255
289762.166246129,8028036.87438489,12,1012,BELVEDERE PRIMARY,Harare,Primary,Warren Park Mabelreign,P1,-17.82522,31.01632
292013.070870266,8029867.22472379,13,1013,BLAKISTON  JUNIOR,Harare,Primary,Northern Central,P1,-17.8089,31.03773
297568.453541042,8033811.1816083,14,1014,BORROWDALE PRIMARY,Harare,Primary,Northern Central,P1,-17.77379,31.0905
284437.925469327,8018247.65046032,15,1015,CHEMBIRA,Harare,Primary,High Glen,P2,-17.91313,30.9651
