X,Y,OBJECTID,Schoolnumber,Name,Province,SchoolLevel,District,Grant_Class,latitude,longitude,Name_Normalized
294426.805250263,8009483.93520471,18,1018,ST MARY,Harare,Secondary,Chitungwiza,S2,-17.99326,31.05849,st mary
297116.267166169,8008256.59447584,21,1021,NYATSIME COLLEGE,Harare,Secondary,Chitungwiza,S2,-18.0046,31.08376,nyatsime college
286433.621177161,8019121.77987005,23,1023,ST. PETERS KUBATANA HIGH,Harare,Secondary,High Glen,S2,-17.90543,30.98402,st. peters kubatana high
292414.021959395,8034728.88130899,53,1053,ARUNDEL HIGH,Harare,Secondary,Northern Central,S1,-17.76502,31.04199,arundel high
284435.323949934,8022661.43382249,55,1055,EAGLESVALE,Harare,Secondary,Glenview Mufakose,S1,-17.87326,30.96553,eaglesvale
300948.754298422,8032189.32308858,57,1057,CHISIPITE SENIOR,Harare,Secondary,Mabvuku Tafara,S1,-17.78875,31.12222,chisipite senior
293532.251176866,8028473.89561649,59,1059,DOMINICAN CONVENT,Harare,Secondary,Mbare Hatfield,S1,-17.82163,31.05192,dominican convent
294256.795110844,8030791.68900461,62,1062,ST. GEORGES,Harare,Secondary,Northern Central,S1,-17.80076,31.05898,st. georges
290695.207803512,8033774.35971416,65,1065,ST. JOHNS,Harare,Secondary,Warren Park Mabelreign,S1,-17.77348,31.02569,st. johns
304079.396043294,8020483.73325581,67,1067,EPWORTH SECONDARY,Harare,Secondary,Mabvuku Tafara,S3,-17.89478,31.15065,epworth secondary
302460.850007761,8026129.58380581,79,1079,DANHIKO,Harare,Secondary,Mabvuku Tafara,S2,-17.84363,31.13591,danhiko
291428.859959625,8033396.83300428,93,1093,EMERALD HILL FOR THE DEAF,Harare,Secondary,Northern Central,S1,-17.77696,31.03257,emerald hill for the deaf
298273.957336111,8015172.72498398,95,1095,MANYAME,Harare,Secondary,Mabvuku Tafara,S2,-17.94223,31.09536,manyame
280364.050156847,8022717.37085866,96,1096,MUFAKOSE MHURIIMWE,Harare,Secondary,Glenview Mufakose,S2,-17.87235,30.92713,mufakose mhuriimwe
287098.147804879,8021874.4036605,97,1097,HIGHFIELD MHURIIMWE,Harare,Secondary,High Glen,S2,-17.88063,30.99057,highfield mhuriimwe
295079.834015525,8008927.30174927,101,1101,SEKE MHURIIMWE,Harare,Secondary,Chitungwiza,S2,-17.99835,31.0646,seke mhuriimwe
301745.97851322,8039883.78630166,103,1103,HERITAGE,Harare,Secondary,Northern Central,S1,-17.71931,31.13046,heritage
305037.692128099,8018207.41838605,133,1133,DOMBORAMWARI,Harare,Secondary,Mabvuku Tafara,S2,-17.91543,31.15948,domboramwari
291063.433771532,8035169.72146329,134,1134,GATEWAY,Harare,Secondary,Northern Central,S1,-17.76091,31.0293,gateway
299879.725371074,8034833.02863886,139,1139,ST. JOHNS,Harare,Secondary,Northern Central,S1,-17.76477,31.11239,st. johns
291938.661527639,8028266.83915131,169,1171,ALLAN WILSON HIGH,Harare,Secondary,Mbare Hatfield,S1,-17.82335,31.03687,allan wilson high
296736.020329845,8027791.88891716,170,1172,CHURCHILL BOYS HIGH,Harare,Secondary,Northern Central,S1,-17.82809,31.08207,churchill boys high
296372.804515008,8024757.28041638,171,1173,CRANBORNE,Harare,Secondary,Mbare Hatfield,S1,-17.85547,31.07835,cranborne
280073.760799716,8029386.4753734,172,1174,DZIVARASEKWA 1 HIGH,Harare,Secondary,Warren Park Mabelreign,S2,-17.81208,30.92509,dzivarasekwa 1 high
280186.038393088,8030643.13479901,173,1175,DZIVARASEKWA 2 HIGH,Harare,Secondary,Warren Park Mabelreign,S3,-17.80074,30.92628,dzivarasekwa 2 high
289558.331801287,8032863.47688052,174,1176,ELLIS ROBINS BOYS HIGH,Harare,Secondary,Warren Park Mabelreign,S1,-17.7816,31.01488,ellis robins boys high
292191.428134496,8022772.1482269,176,1178,GEORGE STARK HIGH,Harare,Secondary,Mbare Hatfield,S3,-17.87301,31.03871,george stark high
292588.221055369,8028001.32368462,177,1179,GIRLS HIGH,Harare,Secondary,Mbare Hatfield,S1,-17.82581,31.04297,girls high
285549.06545646,8018108.09675229,178,1180,GLEN NORAH 1 HIGH,Harare,Secondary,High Glen,S2,-17.9145,30.97557,glen norah 1 high
285547.131926193,8018773.41032169,179,1181,GLEN NORAH 2 HIGH,Harare,Secondary,High Glen,S2,-17.90849,30.97562,glen norah 2 high
282220.435006,8019334.78758287,180,1182,GLEN VIEW 2 HIGH,Harare,Secondary,Glenview Mufakose,S2,-17.90309,30.94429,glen view 2 high
291638.149985597,8024176.64549712,181,1183,HARARE HIGH,Harare,Secondary,Mbare Hatfield,S2,-17.86027,31.03363,harare high
297390.540315296,8022061.19253403,182,1184,HATFIELD GIRLS HIGH,Harare,Secondary,Mbare Hatfield,S1,-17.87992,31.08769,hatfield girls high
287160.492445504,8020220.06147116,183,1185,HIGHFIELD HIGH,Harare,Secondary,High Glen,S2,-17.89558,30.99099,highfield high
287456.496444802,8019700.73082705,184,1186,HIGHFIELD 2 HIGH,Harare,Secondary,High Glen,S2,-17.9003,30.99373,highfield 2 high
284587.289149861,8024281.59206837,185,1187,KAMBUZUMA 1 HIGH,Harare,Secondary,Glenview Mufakose,S2,-17.85864,30.96713,kambuzuma 1 high
285784.739371858,8025503.47523672,186,1188,KAMBUZUMA 2,Harare,Secondary,Glenview Mufakose,S2,-17.84772,30.97855,kambuzuma 2
285509.184671931,8020412.53125883,187,1189,KWAYEDZA HIGH,Harare,Secondary,High Glen,S2,-17.89368,30.97543,kwayedza high
289828.558145771,8019593.28630617,188,1190,LORD MALVERN HIGH,Harare,Secondary,High Glen,S1,-17.9015,31.0161,lord malvern high
288686.028142827,8032513.26522544,189,1191,MABELREIGN GIRLS HIGH,Harare,Secondary,Warren Park Mabelreign,S1,-17.78468,31.00662,mabelreign girls high
307923.04505865,8026838.5885388,190,1192,MABVUKU HIGH,Harare,Secondary,Mabvuku Tafara,S2,-17.83771,31.1875,mabvuku high
289086.218646471,8037082.80557852,191,1193,MARLBOROUGH,Harare,Secondary,Northern Central,S1,-17.74344,31.01085,marlborough
292377.705740699,8023001.0395884,193,1195,MBARE HIGH,Harare,Secondary,Mbare Hatfield,S2,-17.87096,31.04049,mbare high
294098.799224652,8026194.97458101,194,1196,MORGAN HIGH,Harare,Secondary,Mbare Hatfield,S1,-17.84227,31.05704,morgan high
292844.641305199,8033099.46212807,195,1197,MT. PLEASANT,Harare,Secondary,Northern Central,S1,-17.77978,31.04589,mt. pleasant
280725.775850861,8022695.92292446,196,1198,MUFAKOSE 1 HIGH,Harare,Secondary,Glenview Mufakose,S2,-17.87258,30.93054,mufakose 1 high
280959.92145139,8023856.5139918,197,1199,MUFAKOSE 2,Harare,Secondary,Glenview Mufakose,S2,-17.86212,30.93287,mufakose 2
280972.727866814,8024231.95237945,198,1200,MUFAKOSE 3,Harare,Secondary,Glenview Mufakose,S2,-17.85873,30.93303,mufakose 3
279317.862470099,8022706.82926996,199,1201,MUFAKOSE 4,Harare,Secondary,Glenview Mufakose,S2,-17.87234,30.91726,mufakose 4
286853.988201556,8019354.3742581,200,1202,MUKAI HIGH,Harare,Secondary,High Glen,S2,-17.90337,30.98801,mukai high
300873.892380287,8032675.6244902,201,1203,ORIEL BOYS HIGH,Harare,Secondary,Mabvuku Tafara,S1,-17.78435,31.12156,oriel boys high
301566.037684493,8032922.74981989,202,1204,ORIEL GIRLS HIGH,Harare,Secondary,Mabvuku Tafara,S1,-17.78218,31.12811,oriel girls high
291887.065803521,8028737.87741314,203,1205,PRINCE EDWARD,Harare,Secondary,Mbare Hatfield,S1,-17.81909,31.03643,prince edward
292686.70531555,8027911.58043173,204,1206,QUEEN ELIZABETH GIRLS,Harare,Secondary,Mbare Hatfield,S1,-17.82663,31.04389,queen elizabeth girls
,,205,1208,SEKE 1 HIGH,Harare,Secondary,Chitungwiza,S2,,0,seke 1 high
297892.208779456,8008197.07775437,206,1209,SEKE 2 HIGH,Harare,Secondary,Chitungwiza,S2,-18.00521,31.09108,seke 2 high
296774.37561009,8004761.6152328,207,1210,SEKE 3 HIGH,Harare,Secondary,Chitungwiza,S2,-18.03614,31.08019,seke 3 high
298471.352932498,8005540.75503681,208,1211,SEKE 4 HIGH,Harare,Secondary,Chitungwiza,S2,-18.02926,31.09629,seke 4 high
308960.914664795,8027497.26140122,209,1212,TAFARA I HIGH,Harare,Secondary,Mabvuku Tafara,S2,-17.83185,31.19735,tafara i high
310436.795535354,8028368.15879929,210,1213,TAFARA 2 HIGH,Harare,Secondary,Mabvuku Tafara,S2,-17.82411,31.21135,tafara 2 high
295317.8393165,8035366.68343253,211,1214,VAINONA,Harare,Secondary,Northern Central,S1,-17.75953,31.06943,vainona
293756.359457861,8008266.94752625,212,1215,ZENGEZA I HIGH,Harare,Secondary,Chitungwiza,S2,-18.00419,31.05204,zengeza i high
293025.272371046,8008388.76837673,213,1216,ZENGEZA 2 HIGH,Harare,Secondary,Chitungwiza,S2,-18.00302,31.04515,zengeza 2 high
295241.674803,8008542.64969006,214,1217,ZENGEZA 3 HIGH,Harare,Secondary,Chitungwiza,S2,-18.00184,31.06609,zengeza 3 high
295925.731076643,8007950.89373261,215,1218,ZENGEZA 4 HIGH,Harare,Secondary,Chitungwiza,S2,-18.00725,31.07249,zengeza 4 high
282236.23367437,8019343.81840931,216,1219,GLEN VIEW 1 HIGH,Harare,Secondary,Glenview Mufakose,S2,-17.90301,30.94444,glen view 1 high
300578.866981276,8005640.9170334,217,1220,SEKE 5 HIGH,Harare,Secondary,Chitungwiza,S2,-18.02855,31.1162,seke 5 high
295493.580518879,8005311.74262461,218,1221,SEKE 6 HIGH,Harare,Secondary,Chitungwiza,S2,-18.03105,31.06815,seke 6 high
280426.041974163,8027547.10762714,219,1222,KUWADZANA 1 HIGH,Harare,Secondary,Warren Park Mabelreign,S2,-17.82873,30.92822,kuwadzana 1 high
286224.879774989,8027748.86551594,220,1223,WARREN PARK HIGH,Harare,Secondary,Warren Park Mabelreign,S2,-17.82748,30.98293,warren park high
299556.603369636,8042713.37633367,221,1224,HATCLIFFE,Harare,Secondary,Northern Central,S2,-17.69355,31.11009,hatcliffe
279838.074946072,8019593.98328262,269,1273,BUDIRIRO HIGH,Harare,Secondary,Glenview Mufakose,S2,-17.90051,30.92184,budiriro high
289933.366292582,8027089.98302074,272,1276,Christ Ministries College,Harare,Secondary,Warren Park Mabelreign,S1,-17.83379,31.01784,christ ministries college
289303.428955735,8026405.80439467,275,1279,WESTRIDGE,Harare,Secondary,Warren Park Mabelreign,S1,-17.83991,31.01183,westridge
279177.29530169,8028087.88297308,277,1281,KUWADZANA 2 HIGH,Harare,Secondary,Warren Park Mabelreign,S2,-17.82372,30.9165,kuwadzana 2 high
,,280,1285,MARANATHA CHRISTIAN HIGH,Harare,Secondary,Warren Park Mabelreign,S2,,0,maranatha christian high
,,282,1288,SIMBAREDENGA,Harare,Secondary,High Glen,S3,,0,simbaredenga
,,284,1293,WESTWOOD COLLEGE,Harare,Secondary,Glenview Mufakose,S3,,0,westwood college
,,285,1294,EL-BETHEL COLLEGE,Harare,Secondary,Glenview Mufakose,S2,,0,el-bethel college
,,286,1296,IQRA ACADEMY INDEPENDENT COLLEGE,Harare,Secondary,High Glen,S2,,0,iqra academy independent college
,,287,1298,THE ALEXANDER INSTITUTE OF EDUCATION,Harare,Secondary,High Glen,S1,,0,the alexander institute of education
,,288,1299,CABAL COLLEGE,Harare,Secondary,High Glen,S2,,0,cabal college
,,289,1300,HERENTALS HIGHFIELD COLLEGE,Harare,Secondary,High Glen,S2,,0,herentals highfield college
,,290,1302,FIRST CHOICE COLLEGE,Harare,Secondary,High Glen,S2,,0,first choice college
,,291,1303,GREATSTRIDE COLLEGE,Harare,Secondary,High Glen,S2,,0,greatstride college
,,292,1304,EAGLE RISE COLLEGE,Harare,Secondary,High Glen,S2,,0,eagle rise college
,,293,1305,SPECISS TECHNICAL HIGH,Harare,Secondary,High Glen,S2,,0,speciss technical high
,,294,1306,BUOYANCY COLLEGE,Harare,Secondary,Chitungwiza,S2,,0,buoyancy college
,,295,1307,B AND P STUDY CENTRE HIGH SCHOOL,Harare,Secondary,Chitungwiza,S2,,0,b and p study centre high school
,,296,1308,LYNDEL HOUSE COLLEGE,Harare,Secondary,Chitungwiza,S2,,0,lyndel house college
,,297,1310,TRANSPARENCY ACADEMY,Harare,Secondary,Chitungwiza,S2,,0,transparency academy
,,298,1311,STRATEGOS COLLEGE,Harare,Secondary,Chitungwiza,S2,,0,strategos college
,,299,1312,DENMARK TRAINING COLLEGE,Harare,Secondary,Mbare Hatfield,S1,,0,denmark training college
,,300,1313,ST MARY'S COLLEGE OF ACADEMY,Harare,Secondary,Chitungwiza,S3,,0,st mary's college of academy
,,301,1315,MOONRISE COLLEGE,Harare,Secondary,Chitungwiza,S3,,0,moonrise college
,,302,1318,ZENGEZA 3 METHODIST ACADEMY,Harare,Secondary,Chitungwiza,S2,,0,zengeza 3 methodist academy
,,303,1320,EXCEL COLLEGE,Harare,Secondary,Chitungwiza,S3,,0,excel college
,,304,1321,PROSPECT ACADEMY,Harare,Secondary,Mbare Hatfield,S2,,0,prospect academy
,,305,1322,TRUST ACADEMY,Harare,Secondary,Mbare Hatfield,S1,,0,trust academy
,,306,1323,STAR BRIGHT ACADEMY,Harare,Secondary,Chitungwiza,S2,,0,star bright academy
,,307,1324,YOUNG AFRICA ACADEMY,Harare,Secondary,Chitungwiza,S2,,0,young africa academy
,,308,1325,VISTA (VISION) COLLEGE,Harare,Secondary,Mbare Hatfield,S1,,0,vista (vision) college
,,309,1326,NATIONAL EDUCATION CENTRE,Harare,Secondary,Mbare Hatfield,S1,,0,national education centre
,,311,1328,BUTLER COLLEGE,Harare,Secondary,Mabvuku Tafara,S2,,0,butler college
,,312,1329,SPECISS COLLEGE CHITUNGWIZA,Harare,Secondary,Chitungwiza,S2,,0,speciss college chitungwiza
,,313,1330,CARRER MANAGEMENT CENTRE,Harare,Secondary,Mbare Hatfield,S3,,0,carrer management centre
